CID,CRPName,Party
N00043275,"Nabliba, Mario",R
N00043709,"Nackerud, Jennifer",L
N00000939,"Nadler, Jerrold",D
N00041480,"Nalbandian, Johnny",R
N00039033,"Nana, Charles",D
N00006789,"Napolitano, Grace",D
N00043453,"Narang, Sonny",3
N00040819,"Nardolillo, Bobby",R
N00033667,"Narvaiz, Susan",R
N00042891,"Nations, Joey",R
N00037584,"Navarro, Omar",R
N00040903,"Neace, Joshua",3
N00042491,"Neahring, Jennifer",D
N00042675,"Neal, Diane",I
N00000153,"Neal, Richard E",D
N00041590,"Neal, Rick",D
N00042832,"Nease, James",R
N00040555,"Neff, Bill",R
N00042263,"Negley, William",R
N00041841,"Negron, Steve",R
N00041080,"Neguse, Joseph",D
N00039601,"Nehlen, Paul",R
N00041297,"Neighbors, Rick",D
N00009926,"Nelson, Bill",D
N00041827,"Nelson, Carla",R
N00041760,"Nelson, John",D
N00042515,"Nelson, Kevin",D
N00040635,"Nelson, Patrick",D
N00042426,"Nelson, Preston",R
N00042385,"Nelson, Shawn",R
N00043496,"Nelson, Thomas John",R
N00041496,"Nesmith, Trent",D
N00039142,"Neu, James",D
N00041736,"Newberger, Jim",R
N00043313,"Newbrough, Jack",R
N00036403,"Newhouse, Dan",R
N00037323,"Newland, K Ross",R
N00040891,"Newman, Marie",D
N00029708,"Newman, Monty",R
N00042987,"Newsom, Shane",L
N00037600,"Newton, William",R
N00042011,"Nguyen, Danny",R
N00040645,"Nichols, Damien",D
N00042200,"Nichols, Jason",D
N00032147,"Nichols, Kristi",R
N00041623,"Nicholson, Kevin",R
N00042915,"Nickloes, Sarah Ashley",R
N00042229,"Niederkorn, David",R
N00043601,"Niemuth, Niles",3
N00041349,"Niermann, Tom",D
N00040999,"Noble, Janelle",D
N00021207,"Nolan, Rick",D
N00036154,"Norcross, Don",D
N00042791,"Nordal, Craig",R
N00030614,"Noren, Scott",I
N00027783,"Norman, Ralph",R
N00043347,"Norris, Lance",R
N00033875,"Norris, Phil",R
N00001692,"Norton, Eleanor Holmes",D
N00042209,"Nothstein, Marty",R
N00007248,"Nunes, Devin",R
N00042647,"Nye, Cooper",I
N00043499,"Nye, Jennifer T.",R
N00042530,"Nygaard, David",D
N00040852,"Nygard, Dotty",D
N00043412,"O''Neill, Thomas E.",R
N00042196,"O'Brien, Carol",R
N00042586,"O'Connor, Danny",D
N00040719,"O'Cull, Sayre Christian",D
N00042982,"O'Dear, Craig",I
N00042674,"O'Donnell, James",R
N00041150,"O'Donnell, Justin",L
N00040850,"O'Donnell, Ronald",D
N00037515,"O'Halleran, Tom",D
N00003338,"O'Hara, Shawn",3
N00043420,"O'Neill, Ruby",R
N00033540,"O'Rourke, Beto",D
N00041980,"O'Rourke, Terence",D
N00040957,"Oakes, Kevin",R
N00043340,"Oaks, Richonda",R
N00040869,"Oatman, Laura",D
N00041162,"Ocasio-Cortez, Alexandria",D
N00042730,"Oh, Thomas",R
N00042812,"Ohevzion, Michael",R
N00036034,"Ojeda, Richard",D
N00042278,"Oliver, Julie",D
N00041644,"Oliver, Rusty",D
N00042682,"Olivito, Richard A",D
N00041246,"Olmer, Scott",D
N00041696,"Olsen, Martin",D
N00043104,"Olsen, Robert Dean",D
N00041896,"Olson, Brayden",D
N00041667,"Olson, Craig",D
N00042597,"Olson, Lee W",I
N00029285,"Olson, Pete",R
N00041039,"Olszewski, Al",R
N00043581,"Omar, Ilhan",D
N00041448,"Onufrei, Stelian",R
N00035210,"Ordille, John",L
N00030378,"Orlinski, John",R
N00042003,"Ortitay, Jason",R
N00042865,"Ortiz, Gabriel",D
N00041512,"Osmack, Mark",D
N00043115,"Osmena, Cristina",R
N00040675,"Ossoff, Jon",D
N00043243,"Ottaway, Brent",D
N00043737,"Overby, Paula M.",3
N00040857,"Owen, Robert",D
N00043631,"Owen, Tim",R
N00043536,"Owens, Colleen",R
N00043020,"Owens, Hubert",R
N00043323,"Owens, Kyle",I
N00043103,"Pace, Tyler",R
N00042889,"Padgett, Clay",D
N00040652,"Padilla, Mark",I
N00034951,"Paige, Brooke",R
N00043075,"Painter, Richard",D
N00042632,"Palazzo, Rhonda",R
N00031958,"Palazzo, Steven",R
N00027796,"Pallant, Mary",D
N00000781,"Pallone, Frank Jr",D
N00035691,"Palmer, Gary",R
N00042221,"Palmer, Michael",R
N00042587,"Palmer, Susan",D
N00039379,"Palsson, Nils",I
N00037157,"Palzer, Tom",R
N00041716,"Palzewicz, Tom",D
N00041708,"Panda, Chetan",D
N00038601,"Panetta, Jimmy",D
N00041553,"Pannu, Jasdeep",R
N00043523,"Pappas, Anthony",R
N00042161,"Pappas, Chris",D
N00042828,"Pappas, Nicholas",R
N00042532,"Park, Jonathan",D
N00042863,"Parker, Grayson",D
N00039918,"Parker, John",3
N00043361,"Parker, Luisa",I
N00043172,"Parker, Perry",R
N00043088,"Parker, Sam",R
N00041624,"Parks, Juan",D
N00040759,"Parnell, Archie",D
N00042225,"Parvizian, Hamid",D
N00041795,"Paschen, John",D
N00000751,"Pascrell, Bill Jr",D
N00038816,"Pate, Ava",R
N00042406,"Patel, Sanjay",D
N00041983,"Patel, Suraj",D
N00035104,"Paterson, Clark",L
N00043403,"Patterson, Ken",R
N00042197,"Patton, Jackie",D
N00041591,"Patton, Tom",R
N00043354,"Paul, Richard",L
N00042851,"Paul, Utam",D
N00043381,"Paulaha, Dennis",D
N00029391,"Paulsen, Erik",R
N00043482,"Paulus, GE",R
N00034639,"Payne, Donald M Jr",D
N00043006,"Payne, Rachel",D
N00039271,"Payne, Tom",D
N00043263,"Payton, Philip",R
N00043705,"Peacock, Brad Joseph",I
N00040665,"Peacock, Julia",D
N00012672,"Pearce, Steve",R
N00039845,"Pearson, Erika Stotts",D
N00036714,"Pearson, Michael",R
N00041227,"Peay, Stewart",R
N00041523,"Pechefsky, David",D
N00012932,"Pedigo, Brian",D
N00041438,"Peeples, Bryan",R
N00040166,"Peiro, Maria",R
N00042016,"Pelletier, Paul",D
N00040343,"Pellett, Danielle",D
N00007360,"Pelosi, Nancy",D
N00041310,"Pelzer, Jon",D
N00041762,"Pelzer, Kimberlin Brown",R
N00042174,"Pena, Angel",D
N00042937,"Pena, Chuck",L
N00040670,"Pena, Ray",D
N00041410,"Pena, Rene Jr",D
N00041956,"Pence, Greg",R
N00043007,"Pendleton, Robert",I
N00040746,"Pendleton, Scott",R
N00042217,"Penfold, Josh",D
N00041517,"Penner, Kirk",R
N00042627,"Pennington, Alonzo",D
N00004108,"Pensler, Sandy",R
N00041783,"Perenich, Stephen",D
N00043206,"Perez Williams, Juanita",D
N00041478,"Perez, Ana Maria",D
N00040596,"Perez, John",D
N00043462,"Perez, Marty",R
N00026186,"Perez, N Ruben",L
N00040750,"Perez, Tom",R
N00035512,"Perkins, Jo Rae",R
N00027510,"Perlmutter, Ed",D
N00040984,"Perri, Chris",D
N00036567,"Perri, Elizabeth",3
N00042110,"Perry, Christy",R
N00041180,"Perry, Paul",D
N00034120,"Perry, Scott",R
N00042866,"Persson, Carl",R
N00043327,"Peruski, Jeremy Michael",I
N00040980,"Peterka, Jessica",I
N00039914,"Peters , Herb",D
N00042616,"Peters, Brandon",D
N00039395,"Peters, Christopher",R
N00042207,"Peters, Joe",R
N00041391,"Peters, John",D
N00043371,"Peters, Ruby",I
N00042781,"Peters, Rudy",R
N00033591,"Peters, Scott",D
N00038525,"Petersen, Austin",R
N00004558,"Peterson, Collin",D
N00030903,"Peterson, David",D
N00043752,"Peterson, Edward",I
N00042047,"Peterson, Lea Marquez",R
N00042829,"Petroff, John",D
N00040878,"Pettersen, Brittany",D
N00042565,"Pettigrew, Aaron",R
N00041975,"Pettinato, Jared",D
N00033609,"Petzel, Geoffrey",D
N00041444,"Peyer, Dustin",D
N00000775,"Pezzullo, Rich",R
N00041878,"Pfalzgraf, Eric",D
N00043404,"Pfeifer, Peter",R
N00041495,"Pham, Ethan",D
N00041970,"Phifer, Leah",D
N00036437,"Phillips, Bartholomew J",I
N00041711,"Phillips, Brendan",3
N00043591,"Phillips, Breton",R
N00041134,"Phillips, Dean",D
N00041386,"Phillips, Heath",D
N00040966,"Phillips, Mariah",D
N00041249,"Phillips, Rupie Jr",R
N00040859,"Phoenix, Jess",D
N00042128,"Piatt, Patti",D
N00042187,"Piegza, Larry",3
N00039040,"Pierce, Douglas",D
N00042914,"Pierce, Shannon",R
N00042375,"Pierson, Nick",R
N00042685,"Pikus, Patrick",D
N00040671,"Pilkington, Greg",D
N00043605,"Pilskog, Adam",I
N00043704,"Pimentel, Sarah Genova",I
N00013817,"Pingree, Chellie",D
N00043310,"Pinion, Timothy A.",R
N00042178,"Pinjuv, Guy",D
N00041733,"Piper, John Patrick",I
N00028771,"Pirkowski, Eddie",R
N00030781,"Pistone, John",I
N00034416,"Pittenger, Robert",R
N00041270,"Pittman, Trip",R
N00035000,"Plaskett, Stacey",D
N00043278,"Plummer, Gerald",D
N00041203,"Plummer, Letitia",D
N00033549,"Pocan, Mark",D
N00026457,"Poe, Ted",R
N00042019,"Polce, Nick",R
N00043229,"Polen, Michael",R
N00034584,"Poliquin, Bruce",R
N00040687,"Pollard, Andre",I
N00041490,"Pollard, Bill",D
N00043223,"Pollock, Randy",R
N00042531,"Pope, Elliot",R
N00040754,"Pope, Tommy",R
N00036853,"Porambo, Joe",L
N00041393,"Porter, Eddie Ray",D
N00041889,"Porter, Ernest",D
N00040865,"Porter, Katie",D
N00040773,"Porter, Stevan",L
N00029662,"Posey, Bill",R
N00043216,"Post, Dynda Rose",D
N00043012,"Postemski, Dan",R
N00042270,"Poteet, Al",R
N00043941,"Potter, Laura",3
N00042235,"Pounds, Bunni",R
N00040991,"Powell, Jon",D
N00041958,"Powers, Kevin",R
N00042707,"Pozos, Clare Putnam",R
N00043316,"Praver, Shaul",D
N00042393,"Prejean, Christina",D
N00043094,"Presley, Elvis",L
N00042581,"Pressley, Ayanna",D
N00043493,"Pressman, Jonathan",D
N00042143,"Pretot, Jake",D
N00002260,"Price, David",D
N00041369,"Price, Phillip",D
N00041109,"Price, Suzyn",D
N00042076,"Price, Thomas",D
N00042210,"Pries, Mike",R
N00040749,"Prigg, Tom",D
N00042171,"Princeton, Lloyd",L
N00042167,"Pringle, David",D
N00043049,"Probasco, Kevin",R
N00043147,"Profit, Joe",R
N00041360,"Prosch, Matt",R
N00007956,"Pross, Gordon",R
N00041572,"Pruett, Jim",D
N00041877,"Pruitt, Autry",R
N00040895,"Pruitt, Dean",D
N00043003,"Puett, Kevin",D
N00043457,"Pugh, Bryan",3
N00042446,"Pulcher, Jacob",L
N00040137,"Puletasi , Sam",D
N00041506,"Pullen, Mike",D
N00028240,"Pullins, Pierre",D
N00042676,"Pureval, Aftab",D
N00042617,"Purkis, Angelika",I
N00040197,"Puskar, Michael",I
N00031386,"Pyle, Dennis",R
N00041079,"Qudrat, Omar",R
N00041146,"Queen, Kenneth",D
N00043238,"Quick, Laura",D
N00040642,"Quigg, Rebecca",D
N00030581,"Quigley, Mike",D
N00039087,"Quinn, Christine",R
N00042686,"Quinn, Patrick J",R
N00038839,"Quintanilla, Carlos",D
N00040646,"Quintero, Andre",D
N00042075,"Quintero, Norman",D
N00040729,"Quist, Robert E.",D
N00036728,"Rab, Raji",D
N00043521,"Rabin, Eliot",R
N00037587,"Rabinowitz, Jeffrey G",I
N00041574,"Racioppi, Sam",L
N00041324,"Rackleff, Bob",D
N00013848,"Raczkowski, Rocky",R
N00040943,"Rader, Betsy",D
N00007635,"Radewagen, Amata Coleman",R
N00042123,"Radice, Timothy",R
N00042858,"Radinovich, Joe",D
N00042366,"Raiklin, Ivan",R
N00043213,"Rajiah, James",I
N00029652,"Ramirez, Rita",D
N00042115,"Ramirez-Rosa, Carlos",D
N00041481,"Ramsay, Greg",D
N00041123,"Ramsey, Andrea",D
N00041103,"Ramsey, George",D
N00043885,"Randol, Kyle",L
N00039167,"Rangel, Roland",L
N00042397,"Rao, Saira",D
N00043439,"Raphoon, Megan Renee",I
N00041472,"Rapini, Dominic",R
N00037036,"Raskin, Jamie",D
N00035972,"Ratcliffe, John Lee",R
N00043877,"Rath, Michael",I
N00042886,"Ratigan, Dylan",D
N00042513,"Ratterree, Troy",R
N00041694,"Ray, Johnny Allen",R
N00040727,"Ray, Patricia Torres",D
N00036553,"Ray, Troy",I
N00041739,"Raybould, Jane",D
N00036862,"Raymond, Robert",I
N00002002,"Rea, John",D
N00029657,"Reale, Daniel J",L
N00037582,"Redd, Shawn",R
N00041861,"Reddick, Rachel",D
N00042499,"Reed, Dave",R
N00030776,"Reed, Mark",R
N00030949,"Reed, Tom",R
N00038410,"Reed, Wendy",D
N00042504,"Reel, Matt",D
N00043968,"Reeve, Caleb Dan",I
N00036005,"Reeves, Jason",L
N00041493,"Regalado, Raquel",R
N00042867,"Register, Benjamin Patrick",D
N00037353,"Reid, Derrick Michael",L
N00041640,"Reid, Ron",D
N00043969,"Reiksthegn, Hektor",I
N00043574,"Reilly, Josh",3
N00034783,"Reilly, Steve",D
N00043505,"Reinecker, Nick",R
N00041077,"Reiser, Brandon",L
N00040695,"Reiss, John",D
N00042780,"Remmer, Lisa",R
N00031127,"Renacci, Jim",R
N00042395,"Renison, John",R
N00042472,"Rennhack, John",D
N00041871,"Reschenthaler, Guy",R
N00043123,"Rey, Juan",I
N00042526,"Reyes, Augustine",D
N00041560,"Reyes, Carlos",R
N00043546,"Reyes, Richard Travis",L
N00042754,"Reyes-Aguirre, Eve",3
N00043583,"Reynolds, Brian J.",I
N00043232,"Reynolds, Robert L",R
N00039835,"Reynolds, Steven",D
N00041775,"Rhea, Bill",R
N00039723,"Rheinhart, Allen",D
N00040938,"Rhodes, Gareth",D
N00041127,"Rice, Johnny",R
N00035927,"Rice, Kathleen",D
N00040894,"Rice, Maxwell",R
N00041057,"Rice, Richard Brand New",D
N00033832,"Rice, Tom",R
N00040815,"Rich, Mick",R
N00041355,"Rich, Tim",D
N00010242,"Richards, Leonard J",D
N00041088,"Richardson, Chardo",D
N00041492,"Richardson, David",D
N00030125,"Richardson, Marvin",3
N00042065,"Richardson, Robert",3
N00030184,"Richmond, Cedric",D
N00003241,"Richmond, Isaac",D
N00008357,"Rickards, Peter",D
N00041195,"Ricker, Sean",R
N00041395,"Rieger, Chris",D
N00037032,"Rients, Don",R
N00043169,"Ries, Robert",D
N00043541,"Riggleman, Denver",R
N00043799,"Riley, James Jr",I
N00040777,"Riley, Kris Ann Ms.",I
N00041331,"Ring, Lisa",D
N00041921,"Ringelstein, Zak",D
N00041423,"Rittereiser, Jason",D
N00043414,"Rivera, Natalie Lynn",I
N00042994,"Rivers, Don",D
N00030199,"Robbins, Frankie",D
N00034320,"Roberson, John",D
N00035354,"Roberts, Boyd",D
N00038874,"Roberts, Clifton",I
N00040924,"Roberts, Ira",R
N00042219,"Roberts, Kevin",R
N00043224,"Roberts, Mark",3
N00042683,"Roberts, Shawna",D
N00042714,"Robertson, Annabelle",D
N00036946,"Robertson, Terry",R
N00032006,"Robinson, Art",R
N00042938,"Robinson, Gil",L
N00030768,"Roby, Martha",R
N00038414,"Rochester, Lisa Blunt",D
N00040718,"Rockhold, Chris",L
N00026314,"Rodgers, Cathy McMorris",R
N00039652,"Rodgers, Emory",D
N00040988,"Rodriguez, Darrell",D
N00041213,"Rodriguez, George",D
N00041330,"Rodriguez, Jose Javier",D
N00040210,"Rodriguez, Junius",D
N00043660,"Rodriguez, Shawndra",I
N00041642,"Rodriguez-Aguilera, Bettina",R
N00028463,"Roe, Phil",R
N00041710,"Roesler, Russell Paul",I
N00043503,"Rogers, Curtis Ralph",R
N00003473,"Rogers, Hal",R
N00031548,"Rogers, Kesha",I
N00024759,"Rogers, Mike D",R
N00043688,"Rogers, Tim",R
N00033985,"Rogers, Wendy",R
N00007151,"Rohrabacher, Dana",R
N00042447,"Rohrs, Brad",R
N00031741,"Rokita, Todd",R
N00042428,"Roldan-Johnson, Daniel",D
N00039420,"Romero, Paul Jr",R
N00041835,"Romley, Ken",D
N00000286,"Romney, Mitt",R
N00038447,"Ronan, Sam",R
N00040007,"Rooney, Francis",R
N00029018,"Rooney, Tom",R
N00043648,"Rosales, Mike",I
N00042443,"Rosas, Eduardo",D
N00042043,"Rosas, Emily",R
N00041972,"Rose, E Brian",R
N00041599,"Rose, John",R
N00041588,"Rose, Max",D
N00038734,"Rosen, Jacky",D
N00035517,"Rosendale, Matt",R
N00004719,"Roskam, Peter",R
N00039841,"Ross, David",L
N00030645,"Ross, Dennis",R
N00043212,"Ross, Felicia",D
N00041557,"Ross, Heather",D
N00043719,"Rossell, Reid",D
N00032631,"Rossi, Dino",R
N00031253,"Rothfus, Keith J",R
N00040666,"Rouda, Harley",D
N00042797,"Routledge, Root",D
N00033527,"Rouzer, David",R
N00041228,"Row, Shane",R
N00041102,"Rowe, Courtney",D
N00041874,"Rowjee, Roshin",R
N00042268,"Roy, Chip",R
N00006671,"Roybal-Allard, Lucille",D
N00008264,"Royce, Ed",R
N00034185,"Ruben, David",D
N00043714,"Rucinski, Gary",D
N00043161,"Rudbeck, Thomas",I
N00042590,"Ruff, Jonathan Alan",R
N00043931,"Rufo, Michael",L
N00042905,"Ruggles, Roger William Dr.",D
N00033510,"Ruiz, Raul",D
N00040561,"Rundblade, Shawn Eric",D
N00025482,"Ruppersberger, Dutch",D
N00004887,"Rush, Bobby L",D
N00043129,"Rushman, Ed",I
N00041764,"Rusk, Ted",D
N00041274,"Russell, Chris",D
N00043118,"Russell, Christine",R
N00042486,"Russell, John",D
N00041940,"Russell, Ken",D
N00036175,"Russell, Steven",R
N00033611,"Rutagwibira, Aloys",R
N00039777,"Rutherford, John",R
N00038699,"Ryan, Greg",R
N00041105,"Ryan, Heather",D
N00036705,"Ryan, Jeremy",R
N00042930,"Ryan, Mike",L
N00041165,"Ryan, Pat",D
N00004357,"Ryan, Paul",R
N00041959,"Ryan, Terence J",D
N00025280,"Ryan, Tim",D
N00041059,"Ryerse, Robert",R
N00039937,"Ryman, Fred",R
N00040889,"Ryon, Anna",D
N00040868,"Rywalski, Eric",D
N00041510,"Saad, Fayrouz",D
N00043127,"Saavedra, Jazmina",R
N00042348,"Saavedra, Jazmina",R
N00041072,"Sabato, Antonio Jr",R
N00030418,"Sablan, Gregorio",I
N00009941,"Sabrin, Murray",L
N00040816,"Saccone, Rick",R
N00043335,"Sachs, Noga",R
N00042947,"Saettone, Richard",L
N00041407,"Sagan, Greg",D
N00041698,"Sagliano, Vito",R
N00027300,"Said, Mohammad H",D
N00043430,"Saizan, Andie",D
N00041210,"Sajna, Cyrus",R
N00041845,"Salas, Andrew",R
N00043776,"Salas, Sandra",L
N00042810,"Salazar, Maria Elvira",R
N00041884,"Salerno, Lillian",D
N00040893,"Salim, Ahmed",D
N00040929,"Salmon, Scott",D
N00034802,"Salyer, Michael",L
N00005912,"Sam, Geraldine",R
N00042004,"Samples, Greg",L
N00038591,"San Miguel, Edna",R
N00042619,"San Nicolas, Michael",D
N00041149,"Sanborn, Andy",R
N00043929,"Sanchez, Anthony Parisi",3
N00042247,"Sanchez, Ivan",D
N00040761,"Sanchez, Jana Lynne",D
N00024870,"Sanchez, Linda",D
N00043418,"Sanchez, Manny",D
N00042417,"Sanchez, Ruben",R
N00000528,"Sanders, Bernie",I
N00043046,"Sanders, Justin",R
N00042871,"Sanders, Levi",D
N00036641,"Sandman, Ray Skip",I
N00043131,"Sandman, Shastina",R
N00040397,"Sandness, Marvin",3
N00002424,"Sanford, Mark",R
N00041950,"Sangari, Sargis",R
N00040918,"Santa Maria, Brian",D
N00039297,"Santamaria, Carlos",R
N00040770,"Santana, Edwin Jr",D
N00042299,"Santopietro, Justin",D
N00042939,"Santos, Lee",L
N00043013,"Santos, Manny",R
N00042400,"Sapp, Judson",R
N00027751,"Sarbanes, John",D
N00042383,"Sarega, Andrew",R
N00041879,"Sargent, Bill",R
N00041680,"Sarnoski, Jason",R
N00042269,"Sarver, Jenifer",R
N00041686,"Sauberman, Joshua",I
N00043613,"Saulibio, Dave",I
N00043428,"Savoie, Tammy",D
N00042378,"Sawdy, Steven",R
N00042809,"Sawyer, John Wilbur III",R
N00040997,"Sawyers, Ryan",D
N00042182,"Sax, Mike",3
N00041767,"Sayed, Shamus",R
N00037526,"Sbaih, Jesse",D
N00009660,"Scalise, Steve",R
N00042706,"Scanlon, Mary Gay",D
N00042389,"Schaarsmith, Deanie",D
N00031054,"Schaffner, Paul",R
N00038834,"Schafranek, Robert",R
N00004724,"Schakowsky, Jan",D
N00009575,"Scharer, Gene",D
N00043125,"Schatzle, Karen Lee",I
N00007548,"Schaupp, Charles",R
N00041427,"Scheinberg, Aaron",D
N00043528,"Schenkenfelder, Joseph",D
N00033362,"Schiess, John",R
N00009585,"Schiff, Adam",D
N00039555,"Schiffman, Steve",D
N00042479,"Schiller, Jill",D
N00041578,"Schiller, Nick",D
N00043251,"Schmid, Claude",R
N00043711,"Schmidt, Jesse",I
N00042612,"Schmitt, Michael D",R
N00033101,"Schneider, Brad",D
N00025314,"Schneider, Jan",D
N00042847,"Schneider, Joseph",R
N00043031,"Schneider, Mac",D
N00041986,"Schnibbe, Steve",R
N00043444,"Schofield, Jack Jr.",D
N00041465,"Scholten, JD",D
N00043029,"Schoolcraft, Jamie",D
N00034723,"Schooley, Travis",R
N00042082,"Schoonover, Joshua",R
N00030071,"Schrader, Kurt",D
N00041276,"Schrader, Stephen James",R
N00028236,"Schrader, Tommy",D
N00040846,"Schrage, Joseph",R
N00041606,"Schrier, Kim",D
N00036774,"Schroeder, Hank",3
N00041115,"Schuh, Jon",R
N00043744,"Schuller, Dennis",3
N00026106,"Schultz, Debbie Wasserman",D
N00043305,"Schultz, Jim",L
N00042053,"Schuster, Robert Kyle",D
N00041537,"Schwab, Kurt",R
N00042577,"Schwartz, Derek",R
N00043167,"Schwartz, Leonard",L
N00042448,"Schwartz, Paul Kenneth",D
N00041568,"Schwartzberg, Steve",D
N00006460,"Schweikert, David",R
N00032457,"Scott, Austin",R
N00002147,"Scott, Bobby",D
N00024871,"Scott, David",D
N00041178,"Scott, George",D
N00042864,"Scott, Jeff",L
N00043595,"Scott, Joshua",R
N00043490,"Scott, Omeria",D
N00043290,"Scott, Rick",R
N00042193,"Scott, Zach",D
N00041586,"Seaman, Victoria",R
N00042188,"Seamans, Joan Elizabeth",D
N00041363,"Searcy, Sam",D
N00041636,"Sedbrook, David Michael",D
N00040932,"Sedillo Lopez, Antoinette",D
N00034901,"Sedlock, Adam",D
N00042256,"Seeberger, Rick",R
N00042035,"Segal, Jerome",D
N00041788,"Seidman, Barbara A",D
N00042678,"Sellers, Leah",D
N00042803,"Selmont, Ges",D
N00004291,"Sensenbrenner, F James Jr",R
N00041428,"Sergent, Talley",D
N00042637,"Serrano, Gerardo",R
N00001813,"Serrano, Jose E",D
N00041856,"Seryak, Kit",R
N00005681,"Sessions, Pete",R
N00042629,"Sessions, Rane",D
N00043210,"Seta, Anthony J.",3
N00042404,"Sevigny, Stephen",D
N00030622,"Sewell, Terri A",D
N00042850,"Seyfferth, Robert",R
N00043741,"Seymore, Christopher Lovell Sr.",D
N00041566,"Shah, Sapan",R
N00042811,"Shalala, Donna",D
N00041931,"Shamel, Hayden",D
N00038608,"Shammas, Joe",D
N00041784,"Shapiro, David",D
N00040395,"Shapiro, Robert",L
N00042688,"Shaw, Stephen D",D
N00041935,"Shayani, P Mark",I
N00040817,"Shecktor, Andrew",R
N00041745,"Shedd, Tiffany",R
N00040951,"Sheehan, Molly",D
N00042232,"Sheets, Kenneth",R
N00038712,"Sheets, Lajena",3
N00041052,"Shein, Dimitri",D
N00039809,"Shell, Jonathan",L
N00035041,"Shell, Mark",R
N00043489,"Shelton, Jason",3
N00025842,"Shepard, Jack",R
N00038249,"Shepherd, Doug",R
N00043062,"Shepherd, Morgan",D
N00039133,"Shepherd, Rick",D
N00006897,"Sherman, Brad",D
N00042983,"Sherman, Howard",D
N00042154,"Sherman, Jayesun",R
N00041154,"Sherrill, Mikie",D
N00041746,"Sherry, Barbara",D
N00035286,"Sherzan, Mike",D
N00040964,"Shevlin, Harold",R
N00042558,"Shi, Ling Ling",I
N00004961,"Shimkus, John M",R
N00041801,"Shipley, Sheryl",D
N00042290,"Shipp, Brett",D
N00043331,"Shipp, Joshua",D
N00042473,"Shirley, Liuba Grechen",D
N00042067,"Shoblom, Scott",I
N00041532,"Shocklee, Levii",D
N00043143,"Shoemaker, Ed",R
N00035505,"Shoemaker, Franklin Ed",3
N00042694,"Shoemaker, Myrl",R
N00042396,"Shootman, Gabriel",I
N00039055,"Short, Grant",D
N00027673,"Shudlick, Harold",R
N00043532,"Shupe, Michael",I
N00013770,"Shuster, Bill",R
N00041312,"Siddiqui, Omar",D
N00042427,"Sides, Angel",D
N00039951,"Sidie, Jay",D
N00042250,"Siegel, Mike",D
N00033284,"Siekman, Lane",D
N00040614,"Siganporia, Karl",R
N00043237,"Silifies, Tim",L
N00041692,"Simmons, Justin",R
N00042976,"Simon, Neal",I
N00006263,"Simpson, Mike",R
N00040027,"Sindt, Susan",3
N00033983,"Sinema, Kyrsten",D
N00043056,"Singer, James",D
N00041050,"Singer, James",D
N00042873,"Singh, Hirsh",R
N00042599,"Singh, Hirsh",R
N00042492,"Singletary, Willie",D
N00041095,"Singleton, Philip",R
N00027523,"Sires, Albio",D
N00042613,"Sistek, Len",D
N00040860,"Skelton, Shane",R
N00040948,"Skibo, Brian",D
N00026252,"Skinner, Nancy",D
N00041235,"Slate, Adam",D
N00042679,"Slatzer-Rose, Cody",D
N00001311,"Slaughter, Louise M",D
N00041320,"Slawson, Clay",R
N00040680,"Slotin, Ron",D
N00041357,"Slotkin, Elissa",D
N00043466,"Slotnick, Nancy Dailey",I
N00043756,"Sluestky, Victor",3
N00042467,"Small, Xochitl Torres",D
N00042012,"Smalling, David",R
N00007833,"Smith, Adam",D
N00027623,"Smith, Adrian",R
N00040864,"Smith, Aja",R
N00041362,"Smith, Carlton",D
N00012760,"Smith, Charles",D
N00009816,"Smith, Chris",R
N00041823,"Smith, Chris",D
N00043405,"Smith, Christina",R
N00040814,"Smith, Craig Allen",D
N00039432,"Smith, Craig Allen",R
N00039534,"Smith, Douglas",I
N00043296,"Smith, Gerald",R
N00035282,"Smith, Jason",R
N00042836,"Smith, Jeff",R
N00036212,"Smith, Jesse T",D
N00008327,"Smith, Joe",R
N00042218,"Smith, Kasandra",D
N00001811,"Smith, Lamar",R
N00040890,"Smith, Michael William",D
N00043632,"Smith, RC",R
N00026705,"Smith, Rhett",L
N00039708,"Smith, Rodney",I
N00041243,"Smith, Sarah",D
N00036717,"Smith, Scott",I
N00041090,"Smith, Steve",D
N00041060,"Smith, Steve",R
N00042353,"Smith, Tina",D
N00042713,"Smith, Toby",D
N00029635,"Smith, William",D
N00038781,"Smucker, Lloyd",R
N00040673,"Smyth, Andrew",R
N00041234,"Sneathern, Andrew",D
N00040560,"Snider, Justin",D
N00041068,"Snover, Terra",I
N00039668,"Snow, Misty",D
N00026175,"Snuffer, Rick",R
N00041336,"Snyder, Michael",R
N00041804,"Soave, Antonio",R
N00041450,"Soderberg, Nancy",D
N00040884,"Sola, Louis",R
N00041978,"Soldati, Lincoln",D
N00041399,"Solomon, Robert",D
N00043039,"Sonallah, Zach",D
N00040700,"Songer, Austin",D
N00043512,"Sorensen, Soren",D
N00041643,"Sosa-Suarez, Gina",R
N00032595,"Sosnowski, Marc",3
N00041352,"Sossa-Paquette, Jeffrey Allen Mr",R
N00043142,"Sostack, Brad",R
N00037422,"Soto, Darren",D
N00039760,"Sotomayor, Armando",D
N00036825,"Souza, Dan",L
N00036530,"Spain, Paul",R
N00037410,"Spalding, Carla",R
N00041418,"Spanberger, Abigail",D
N00043319,"Spano, Ross",R
